,planet_name,disposition,kic_id,koi_id,kep_mag,gmag,gmag_err,kmag,kmag_err,parallax,parallax_err,ruwe,mstar,mstar_err1,mstar_err2,rstar,rstar_err1,rstar_err2,rhostar,rhostar_err1,rhostar_err2,teff,teff_err1,teff_err2,feh,feh_err1,feh_err2,logg,logg_err1,logg_err2,age,age_err1,age_err2,age_flag,npl,snr,rcf,detprob,period,period_err1,period_err2,epoch,epoch_err1,epoch_err2,ror,ror_err1,ror_err2,duration,duration_err1,duration_err2,impact,impact_err1,impact_err2,fpp,rgap,rgap_err,rp,rp_err,rp10,rp10_err,rpadj,rpadj_err,sma,sma_err1,sma_err2
10,K00018.01,CONFIRMED,8191672,K00018,13.369,13.6628,0.02,11.769,0.025,1.1129,0.0202,0.963,1.358,0.063,-0.057,1.745,0.05,-0.049,0.253,0.026,-0.025,6402.9,142.6,-136.4,0.038,0.152,-0.16,4.084,0.033,-0.034,2.3,0.48,-0.47,0,1,2486.5,1.0047,0.0065200586432093,3.5484654191000002,1.874799995249532e-07,-1.8571600080008466e-07,55.901438819000006,4.142999998890673e-05,-4.376216000423483e-05,0.078234118167,1.9214365160002966e-05,-1.873972300001081e-05,0.19030140727978617,5.4661276569695216e-05,-5.1702984012830244e-05,0.0153632508225,0.01653226076066,-0.01062103847214,0.0,2.062117270401193,0.054371430403973416,14.89094646294734,0.42244493049167653,13.286994820858304,0.42592953847120246,14.89094646294734,0.42244493049167653,0.05042060882089961,6.280364193493343e-06,-5.682234270303501e-06
11,K00020.01,CONFIRMED,11804465,K00020,13.438,13.8491,0.02,12.066,0.023,1.1357,0.0125,0.998,1.146,0.074,-0.09,1.525,0.035,-0.033,0.319,0.031,-0.034,5911.5,102.0,-104.1,0.044,0.151,-0.135,4.129,0.033,-0.045,5.4,1.96,-1.5,0,1,3535.6,,0.0056536701558692,4.4379629353,1.7231599969136369e-07,-1.7019999987155643e-07,104.0091259,2.977319999786232e-05,-2.8481599997576268e-05,0.116770556435,1.94893193999901e-05,-1.965862060000767e-05,0.19566645731911164,4.172140748387454e-05,-4.027691493102559e-05,0.01044841523,0.01195094936504,-0.007283858315232001,0.0,2.0119983453396357,0.046311924075567036,19.423785464407892,0.4332543909231375,17.76331741887067,0.43572257408328063,19.423785464407892,0.4332543909231375,0.05530933417004364,9.589180562469005e-06,-1.1662516900300142e-05
12,K00022.01,CONFIRMED,9631995,K00022,13.435,13.8443,0.02,12.041,0.011,1.3846,0.0125,1.0053,1.173,0.061,-0.072,1.257,0.026,-0.026,0.582,0.057,-0.055,6003.3,108.8,-114.9,0.208,0.133,-0.168,4.305,0.032,-0.036,2.89,1.95,-1.44,0,1,1955.1,,0.0038045636446276,7.891448835,5.115640000497024e-07,-5.136320009313522e-07,110.24996189,5.0469600012093e-05,-5.096999998954743e-05,0.09343090542150001,0.00016329840573998944,-0.00017809074738001085,0.17849947925017434,0.0002907863134777311,-0.00030728056266698944,0.30114712637999996,0.022971985809200013,-0.027249692525599944,1.3e-06,1.8885591043260952,0.032064511686686094,12.81021782246815,0.26600221726258144,12.48083829589876,0.2679278121030275,12.81021782246815,0.26600221726258144,0.08181223892762687,1.1423154871480734e-05,-1.3483068045026439e-05
13,K00041.01,CONFIRMED,6521045,K00041,11.197,11.5289,0.0205,9.768,0.014,3.2837,0.0188,0.9973,1.14,0.078,-0.087,1.526,0.029,-0.028,0.319,0.031,-0.034,5818.4,106.8,-92.9,0.145,0.125,-0.161,4.128,0.032,-0.045,5.91,2.02,-1.67,0,3,106.7,1.0083,0.0026668307036159,12.8159036915,1.9662699999756228e-05,-1.9460300000773145e-05,55.946843598,0.0011928289199971687,-0.0012255741199993508,0.013616062499,0.0005219471300000004,-0.00016348429423999888,0.2651207747445562,0.0019631272616371653,-0.0016157212742136107,0.323310812125,0.279794203689,-0.22439208151384005,0.0,1.7904632326015195,0.03051432419144932,2.266400978743805,0.07704790696747452,2.3291055213847582,0.08287040454184762,2.305267447383435,0.08287040454184762,0.11196498281954437,2.056875158479493e-05,-2.2942069075348185e-05
14,K00041.02,CONFIRMED,6521045,K00041,11.197,11.5289,0.0205,9.768,0.014,3.2837,0.0188,0.9973,1.14,0.078,-0.087,1.526,0.029,-0.028,0.319,0.031,-0.034,5818.4,106.8,-92.9,0.145,0.125,-0.161,4.128,0.032,-0.045,5.91,2.02,-1.67,0,3,38.2,1.0083,0.0036271303444434,6.8870667532,2.2353551999643173e-05,-2.331463200011541e-05,66.1782275395,0.002680840219994707,-0.0027782129800044686,0.00761756436805,0.00029420561615000045,-0.00015359707346599989,0.18507652286651544,0.003117490300312553,-0.003225449357755067,0.3124657486,0.29286447154959994,-0.22075642072284,0.00019,1.917052695564933,0.03437171251403936,1.2679477154765117,0.04568175748469964,1.2169846983727628,0.057168501712382504,1.2454341850678667,0.057168501712382504,0.07400690734796599,1.3595587249387134e-05,-1.5164308855085647e-05
15,K00041.03,CONFIRMED,6521045,K00041,11.197,11.5289,0.0205,9.768,0.014,3.2837,0.0188,0.9973,1.14,0.078,-0.087,1.526,0.029,-0.028,0.319,0.031,-0.034,5818.4,106.8,-92.9,0.145,0.125,-0.161,4.128,0.032,-0.045,5.91,2.02,-1.67,0,3,28.8,1.0083,0.0009870923425501,35.333233021,0.00022450523999850702,-0.00022266911999935246,86.981351737,0.004798459639999919,-0.004869647280003164,0.009198387495500001,0.00037642000081999916,-0.00022523497896400138,0.24694683036290266,0.005313302076208504,-0.005327913478754942,0.32396900012499996,0.28656629136620004,-0.2224680864338,0.0031,1.6014657370393537,0.04812745731736384,1.531076581368296,0.05902141348903452,1.7591265579779536,0.0761562827222959,1.7416953300536557,0.0761562827222959,0.2201430501264356,4.0441820265070434e-05,-4.510818414180933e-05
16,K00042.01,CONFIRMED,8866102,K00042,9.364,9.6018,0.0312,8.14,0.013,6.7795,0.0224,1.0792,1.219,0.054,-0.074,1.521,0.029,-0.028,0.343,0.027,-0.031,6151.8,122.3,-106.2,-0.04,0.134,-0.128,4.156,0.027,-0.033,3.43,1.27,-0.76,0,1,154.5,1.0349,0.0021440996251072,17.833681618,1.3912800000071002e-05,-1.3846479998136374e-05,114.233839335,0.0006081154000128208,-0.0006156078000003617,0.016714248291000003,0.00017849747759999743,-9.308060784000288e-05,0.18814162274410062,0.0008908067755644955,-0.0007761111268078935,0.19506911347,0.19455769173879994,-0.13936903257752,3e-05,1.7265585561894299,0.03451815117822245,2.7729800343879956,0.05708159959482204,2.9551753370791056,0.06670690948519657,2.8342065581070823,0.06670690948519657,0.14270625803403617,1.69734074476659e-05,-2.3259854650505123e-05
17,K00046.01,CONFIRMED,10905239,K00046,13.77,14.1573,0.02,12.011,0.02,1.0788,0.0171,1.0023,1.122,0.049,-0.044,1.703,0.046,-0.044,0.223,0.027,-0.019,5497.7,122.5,-104.9,0.389,0.071,-0.154,4.021,0.036,-0.03,7.92,1.16,-1.28,0,2,350.6,,0.0065964725221022,3.4876886989,1.10279600029628e-06,-1.1374000004060747e-06,103.93222977,0.0002578795999994554,-0.00025021040001149686,0.032535942348500005,0.0002856293664999926,-0.00011560846878000408,0.16007979698257074,0.00046241459427523446,-0.0003852612493761842,0.16512664527999998,0.1440242856824,-0.11643044452659998,0.0,2.066039757111232,0.05503763718225909,6.043780972613009,0.1647878285328417,5.3825474322705515,0.17373592011779035,6.043780972613009,0.1647878285328417,0.04677034128392564,5.484155065327654e-06,-4.924547405600342e-06
18,K00046.02,CONFIRMED,10905239,K00046,13.77,14.1573,0.02,12.011,0.02,1.0788,0.0171,1.0023,1.122,0.049,-0.044,1.703,0.046,-0.044,0.223,0.027,-0.019,5497.7,122.5,-104.9,0.389,0.071,-0.154,4.021,0.036,-0.03,7.92,1.16,-1.28,0,2,11.5,,0.0038098948454806,6.029758144700001,6.0512155998893036e-05,-6.370238800101902e-05,65.4816446945,0.007787930500001039,-0.007506228780002289,0.0067343470920499995,0.00042698417647400125,-0.00036495248622599955,0.16565973286652932,0.009166679503131714,-0.009546115467817418,0.32523544298499996,0.2890718675582,-0.22568493719463995,0.00054,1.945292152461352,0.037327153499056805,1.2509525122077785,0.080848947112771,1.1832426402121325,0.08904980986833039,1.2229999579554875,0.08904980986833039,0.06737187870951288,7.899831810985739e-06,-7.093726524150459e-06
19,K00049.01,CONFIRMED,9527334,K00049,13.704,13.8294,0.02,11.917,0.019,1.4459,0.0137,1.0636,1.016,0.078,-0.071,1.297,0.029,-0.028,0.461,0.053,-0.049,5838.9,110.6,-109.8,-0.037,0.134,-0.159,4.217,0.041,-0.042,7.63,2.58,-2.4,0,1,19.6,,0.0036654056326187,8.3137854741,4.3444072000298206e-05,-4.180008400034296e-05,108.990422405,0.003858236199988596,-0.004202524600003699,0.026708426579499997,0.001156341069300005,-0.0009297446822599947,0.1244453220771637,0.005196048821383484,-0.005146269339006929,0.30389112002499996,0.28630198045940003,-0.20715764433887995,0.0,1.8777594378549551,0.03139134026375883,3.7784959354120375,0.17007948938618142,3.702515019229625,0.17295215799006175,3.7745548793835093,0.17295215799006175,0.08074424088259011,1.6643643873733278e-05,-1.5149983526090547e-05
